package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.afzaln.besttvlauncher.ui.BestTvApp,BestTvApp,1,1,1,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.Channels.<get-title>,<get-title>,1,0,0,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.Apps.<get-title>,<get-title>,1,0,0,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.apps.AppsScreen,AppsScreen,1,1,1,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.apps.AppList,AppList,1,1,1,0,0,0,0,0,1,4,
com.afzaln.besttvlauncher.ui.apps.AppCard,AppCard,1,1,1,0,0,0,0,0,1,5,
com.afzaln.besttvlauncher.ui.apps.DefaultAppCard,DefaultAppCard,1,1,1,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.channels.ChannelsScreen,ChannelsScreen,1,1,1,0,0,0,0,0,1,2,
com.afzaln.besttvlauncher.ui.channels.ChannelsScreenContent,ChannelsScreenContent,1,1,1,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.channels.ChannelList,ChannelList,1,1,1,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.channels.WatchNextRow,WatchNextRow,1,1,1,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.channels.ProgramInChannelRow,ProgramInChannelRow,1,1,1,0,0,0,0,0,1,3,
com.afzaln.besttvlauncher.ui.channels.CardRow,CardRow,1,1,1,0,0,0,0,0,1,4,
com.afzaln.besttvlauncher.ui.channels.ProgramCard,ProgramCard,1,1,1,0,0,0,0,0,1,6,
com.afzaln.besttvlauncher.ui.channels.Channel,Channel,1,1,1,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.channels.LoadingChannelScreen,LoadingChannelScreen,1,1,1,0,0,0,0,0,1,2,
com.afzaln.besttvlauncher.ui.channels.LoadingProgramCard,LoadingProgramCard,1,1,1,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.components.TitleBar,TitleBar,1,0,1,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.components.TabItem,TabItem,1,1,1,0,0,0,0,0,4,10,
com.afzaln.besttvlauncher.ui.components.DefaultPreview,DefaultPreview,1,1,1,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.home.HomeScreen,HomeScreen,1,1,1,0,0,0,0,0,1,8,
com.afzaln.besttvlauncher.ui.home.AnimatedBackgroundPreview,AnimatedBackgroundPreview,1,1,1,0,0,0,0,0,1,5,
com.afzaln.besttvlauncher.ui.itemdetails.ItemDetailsScreen,ItemDetailsScreen,1,1,1,0,0,0,0,0,1,3,
com.afzaln.besttvlauncher.ui.itemdetails.ItemDetailsContent,ItemDetailsContent,1,1,1,0,0,0,0,0,1,2,
com.afzaln.besttvlauncher.ui.itemdetails.ItemInfo,ItemInfo,1,1,1,0,0,0,0,0,1,5,
com.afzaln.besttvlauncher.ui.itemdetails.MediaHeaderImage,MediaHeaderImage,1,0,1,0,0,0,0,0,1,6,
com.afzaln.besttvlauncher.ui.itemdetails.animateContent,animateContent,1,0,0,0,0,0,0,0,1,3,
com.afzaln.besttvlauncher.ui.itemdetails.MetadataRow,MetadataRow,1,1,1,0,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.itemdetails.ButtonRow,ButtonRow,1,1,1,0,0,0,0,0,3,9,
com.afzaln.besttvlauncher.ui.theme.AppTheme.<get-cardShape>,<get-cardShape>,1,0,0,1,0,0,0,0,1,1,
com.afzaln.besttvlauncher.ui.theme.AppTheme,AppTheme,1,1,1,0,0,0,0,0,2,3,
com.afzaln.besttvlauncher.utils.locatorViewModel,locatorViewModel,1,0,0,0,1,0,0,0,1,2,
